2020-09-24 10:36:03,899 - root - INFO - 输入名称：分分
2020-09-24 10:54:58,970 - root - INFO - 输入名称：分分
2020-09-24 11:10:51,048 - root - INFO - 输入名称：分分
2020-09-24 11:11:00,955 - root - INFO - 输入名称：分分
2020-09-24 11:44:14,758 - root - INFO - 输入名称：分分
2020-09-24 13:50:28,041 - root - INFO - 分分
2020-09-24 14:06:53,774 - root - INFO - 元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 14:06:53,899 - root - INFO - 元素类型 id ,属性值 txtMobile ， 输入值15548757818
2020-09-24 14:06:54,222 - root - INFO - 分分
2020-09-24 14:23:25,215 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 14:23:25,337 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 14:23:26,374 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 14:23:26,478 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 14:23:26,602 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757818
2020-09-24 14:23:26,906 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 14:23:26,935 - root - INFO - test
2020-09-24 14:30:19,913 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 14:30:20,033 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 14:30:20,354 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 14:30:20,476 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 14:30:20,574 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757818
2020-09-24 14:30:20,849 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:04:50,621 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:04:50,722 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:04:51,179 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:04:51,264 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:04:51,352 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757818
2020-09-24 15:04:51,683 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:04:55,753 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 15:04:55,903 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 15:05:46,322 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:05:46,435 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:05:46,708 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:05:46,795 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:05:46,865 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757818
2020-09-24 15:05:47,125 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:05:52,281 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 15:05:52,395 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 15:06:23,075 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:06:23,187 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:06:23,456 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:06:23,549 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:06:23,620 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757819
2020-09-24 15:06:24,192 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:06:28,317 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 15:06:28,423 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 15:09:20,843 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:09:20,947 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:09:21,732 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:09:22,073 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:09:22,155 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757820
2020-09-24 15:09:22,523 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:09:26,697 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 15:09:26,862 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 15:12:15,137 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:12:15,273 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:12:15,548 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:12:15,635 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:12:15,707 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757821
2020-09-24 15:12:16,091 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:12:20,240 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 15:12:20,361 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 15:15:14,330 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:15:14,433 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:15:14,732 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:15:14,819 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:15:14,890 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757822
2020-09-24 15:15:15,274 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:15:22,409 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 15:15:22,511 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 15:18:17,996 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:18:18,099 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:18:18,376 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:18:18,478 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:18:18,564 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757823
2020-09-24 15:18:18,914 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:18:22,726 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 15:18:22,855 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 15:18:47,371 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:18:47,501 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:18:47,818 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:18:47,963 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:18:48,080 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757823
2020-09-24 15:18:48,405 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:18:50,906 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 15:18:51,055 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 15:19:15,673 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:19:15,822 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:19:16,515 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:19:16,649 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:19:16,787 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757824
