2020-10-19 09:29:45,783 - root - INFO - 测试用例：活动中心添加活动
2020-10-19 09:30:04,025 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 活动中心 
2020-10-19 09:30:04,230 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 活动添加 
2020-10-19 09:30:06,086 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-10-19 09:30:06,292 - root - INFO - 输入内容，元素类型 id ,属性值 txtDoTitle ， 输入值自动化活动
2020-10-19 09:30:06,709 - root - INFO - 输入内容，元素类型 id ,属性值 txtMemberCount ， 输入值10
2020-10-19 09:30:06,917 - root - INFO - 输入内容，元素类型 id ,属性值 txtStartDate ， 输入值2030-01-01
2020-10-19 09:30:07,316 - root - INFO - 输入内容，元素类型 id ,属性值 txtEndDate ， 输入值2030-01-02
2020-10-19 09:30:08,087 - root - INFO - 鼠标点击，元素类型 id ,属性值 cbMsg 
2020-10-19 09:30:08,201 - root - INFO - 鼠标点击，元素类型 id ,属性值 cbWx 
2020-10-19 09:30:08,702 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-10-19 09:30:09,432 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 [删除] 
