2020-10-12 18:33:22,813 - root - INFO - 测试用例：活动中心添加活动
2020-10-12 18:33:39,426 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 活动中心 
2020-10-12 18:33:39,726 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 活动添加 
2020-10-12 18:33:40,685 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-10-12 18:33:40,952 - root - INFO - 输入内容，元素类型 id ,属性值 txtDoTitle ， 输入值自动化活动
2020-10-12 18:33:41,388 - root - INFO - 输入内容，元素类型 id ,属性值 txtMemberCount ， 输入值10
2020-10-12 18:33:41,642 - root - INFO - 输入内容，元素类型 id ,属性值 txtStartDate ， 输入值2030-01-01
2020-10-12 18:33:41,823 - root - INFO - 输入内容，元素类型 id ,属性值 txtEndDate ， 输入值2030-01-02
2020-10-12 18:33:42,729 - root - INFO - 鼠标点击，元素类型 id ,属性值 cbMsg 
2020-10-12 18:33:42,900 - root - INFO - 鼠标点击，元素类型 id ,属性值 cbWx 
2020-10-12 18:33:43,631 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-10-12 18:33:44,662 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 [删除] 
