2020-10-15 15:22:36,226 - root - INFO - 测试用例：活动中心添加活动
2020-10-15 15:22:59,605 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 活动中心 
2020-10-15 15:23:00,022 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 活动添加 
2020-10-15 15:23:01,090 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-10-15 15:23:01,397 - root - INFO - 输入内容，元素类型 id ,属性值 txtDoTitle ， 输入值自动化活动
2020-10-15 15:23:01,902 - root - INFO - 输入内容，元素类型 id ,属性值 txtMemberCount ， 输入值10
2020-10-15 15:23:02,165 - root - INFO - 输入内容，元素类型 id ,属性值 txtStartDate ， 输入值2030-01-01
2020-10-15 15:23:02,381 - root - INFO - 输入内容，元素类型 id ,属性值 txtEndDate ， 输入值2030-01-02
2020-10-15 15:23:03,384 - root - INFO - 鼠标点击，元素类型 id ,属性值 cbMsg 
2020-10-15 15:23:03,538 - root - INFO - 鼠标点击，元素类型 id ,属性值 cbWx 
2020-10-15 15:23:03,943 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-10-15 15:23:04,700 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 [删除] 
