"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 17 09:46:20 CST 2020","Tue Nov 17 09:46:49 CST 2020","28923","test_case","test_staffinfo","Test_staff_info","","","test_click_delete01",""
"passed","Mon Oct 19 12:19:12 CST 2020","Mon Oct 19 12:19:30 CST 2020","17798","test_case","test_pr","Test_teachstu","","","test_pr","添加课程，后取消排课"
"passed","Mon Oct 19 09:30:14 CST 2020","Mon Oct 19 09:30:21 CST 2020","6689","test_case","test_import","Test_import","","","test_import",""
"passed","Tue Nov 17 09:46:19 CST 2020","Tue Nov 17 09:46:54 CST 2020","34162","test_case.test_contra","test_contract","Test_contract","","","test_contract","签约合同"
"broken","Mon Oct 19 09:29:46 CST 2020","Mon Oct 19 09:30:14 CST 2020","28013","test_case","test_addstu","Test_Addstudents","","","test_add_success",""
"broken","Mon Oct 19 09:30:19 CST 2020","Mon Oct 19 09:30:26 CST 2020","7155","test_case","test_teach","Test_teachstu","","","test_add_course","添加课程，后取消排课"
"passed","Mon Oct 19 09:29:45 CST 2020","Mon Oct 19 09:30:09 CST 2020","24178","test_case","test_actioncenter","Test_actioncenter","","","test_addaction",""
"passed","Mon Oct 19 09:29:47 CST 2020","Mon Oct 19 09:30:20 CST 2020","32581","test_case","test_contract","Test_contract","","","test_contract22222",""
"passed","Tue Nov 17 09:46:19 CST 2020","Tue Nov 17 09:46:43 CST 2020","23749","test_case","test_staffinfo","Test_staff_info","","","test_click_delete02",""
"passed","Mon Oct 19 09:29:47 CST 2020","Mon Oct 19 09:30:18 CST 2020","30893","test_case","test_contract","Test_contract","","","test_contract","签约合同"
"passed","Tue Nov 17 09:46:20 CST 2020","Tue Nov 17 09:46:43 CST 2020","23267","test_case.test_impot","test_import","Test_import","","","test_import",""
"passed","Mon Oct 19 09:30:10 CST 2020","Mon Oct 19 09:30:17 CST 2020","7831","test_case","test_goods","Test_goods","","","test_addgoods",""
"broken","Mon Oct 19 12:19:13 CST 2020","Mon Oct 19 12:19:27 CST 2020","14445","test_case","test_pro","Test_teachstu","","","test_pr","添加课程，后取消排课"
